Model,Learning Rate,acc,Hidden Size,time
cnn,0.001,0.8859844271412681,128,43.240069084000005s
cnn,1e-05,0.8022803114571746,128,43.181160082999995s
cnn,0.001,0.885706340378198,256,111.19320262499998s
cnn,1e-05,0.8481646273637374,256,111.546425583s
cnn,0.001,0.8759733036707452,512,367.40773841600003s
cnn,1e-05,0.878476084538376,512,374.67515025s
lstm,0.001,0.8695773081201335,128,113.90881033300002s
lstm,1e-05,0.6685205784204672,128,115.74775504200011s
lstm,0.001,0.8690211345939933,256,223.48340320800003s
lstm,1e-05,0.6699110122358176,256,230.54892545799999s
lstm,0.001,0.8623470522803115,512,757.497967042s
lstm,1e-05,0.7686318131256952,512,787.8999193330001s
rnn,0.001,0.8634593993325917,128,38.04945862500017s
rnn,1e-05,0.6877085650723026,128,36.96140312499983s
rnn,0.001,0.8720800889877642,256,61.87607712499994s
rnn,1e-05,0.7908787541713015,256,62.69085787499989s
rnn,0.001,0.8626251390433816,512,163.02015554200034s
rnn,1e-05,0.835650723025584,512,157.57050291699989s
bert,0.001,0.8412124582869855,128,345.45719654100003s
bert,1e-05,0.8915461624026696,128,347.4650984589998s
bert,0.001,0.8709677419354839,256,344.0582702499996s
bert,1e-05,0.8870967741935484,256,345.7788055000001s
bert,0.001,0.8723581757508343,512,343.93809520800005s
bert,1e-05,0.8904338153503893,512,345.78901524999947s
