mode_type,max_length,hidden_size,kernel_size,num_layers,epoch,batch_size,pooling_style,optimizer,learning_rate,class_num,acc
gated_cnn,30,64,3,2,15,64,avg,adam,0.001,2,0.8
gated_cnn,30,64,3,2,15,64,max,adam,0.001,2,0.8208333333333333
gated_cnn,30,64,3,2,15,128,avg,adam,0.001,2,0.8104166666666667
gated_cnn,30,64,3,2,15,128,max,adam,0.001,2,0.8104166666666667
gated_cnn,30,64,3,2,15,256,avg,adam,0.001,2,0.8166666666666667
gated_cnn,30,64,3,2,15,256,max,adam,0.001,2,0.8375
gated_cnn,30,128,3,2,15,64,avg,adam,0.001,2,0.8104166666666667
gated_cnn,30,128,3,2,15,64,max,adam,0.001,2,0.8125
gated_cnn,30,128,3,2,15,128,avg,adam,0.001,2,0.8083333333333333
gated_cnn,30,128,3,2,15,128,max,adam,0.001,2,0.8229166666666666
gated_cnn,30,128,3,2,15,256,avg,adam,0.001,2,0.8208333333333333
gated_cnn,30,128,3,2,15,256,max,adam,0.001,2,0.84375
gated_cnn,30,256,3,2,15,64,avg,adam,0.001,2,0.8041666666666667
gated_cnn,30,256,3,2,15,64,max,adam,0.001,2,0.8166666666666667
gated_cnn,30,256,3,2,15,128,avg,adam,0.001,2,0.8083333333333333
gated_cnn,30,256,3,2,15,128,max,adam,0.001,2,0.825
gated_cnn,30,256,3,2,15,256,avg,adam,0.001,2,0.8125
gated_cnn,30,256,3,2,15,256,max,adam,0.001,2,0.80625
gated_cnn,30,512,3,2,15,64,avg,adam,0.001,2,0.7854166666666667
gated_cnn,30,512,3,2,15,64,max,adam,0.001,2,0.7916666666666666
gated_cnn,30,512,3,2,15,128,avg,adam,0.001,2,0.8083333333333333
gated_cnn,30,512,3,2,15,128,max,adam,0.001,2,0.7916666666666666
gated_cnn,30,512,3,2,15,256,avg,adam,0.001,2,0.79375
gated_cnn,30,512,3,2,15,256,max,adam,0.001,2,0.8125
gated_cnn,30,64,3,2,15,64,avg,adam,0.0001,2,0.8145833333333333
gated_cnn,30,64,3,2,15,64,max,adam,0.0001,2,0.8083333333333333
gated_cnn,30,64,3,2,15,128,avg,adam,0.0001,2,0.7854166666666667
gated_cnn,30,64,3,2,15,128,max,adam,0.0001,2,0.8291666666666667
gated_cnn,30,64,3,2,15,256,avg,adam,0.0001,2,0.725
gated_cnn,30,64,3,2,15,256,max,adam,0.0001,2,0.7916666666666666
gated_cnn,30,128,3,2,15,64,avg,adam,0.0001,2,0.8145833333333333
gated_cnn,30,128,3,2,15,64,max,adam,0.0001,2,0.85625
gated_cnn,30,128,3,2,15,128,avg,adam,0.0001,2,0.8125
gated_cnn,30,128,3,2,15,128,max,adam,0.0001,2,0.825
gated_cnn,30,128,3,2,15,256,avg,adam,0.0001,2,0.78125
gated_cnn,30,128,3,2,15,256,max,adam,0.0001,2,0.84375
gated_cnn,30,256,3,2,15,64,avg,adam,0.0001,2,0.8395833333333333
gated_cnn,30,256,3,2,15,64,max,adam,0.0001,2,0.8458333333333333
gated_cnn,30,256,3,2,15,128,avg,adam,0.0001,2,0.8395833333333333
gated_cnn,30,256,3,2,15,128,max,adam,0.0001,2,0.8333333333333334
gated_cnn,30,256,3,2,15,256,avg,adam,0.0001,2,0.8104166666666667
gated_cnn,30,256,3,2,15,256,max,adam,0.0001,2,0.8479166666666667
gated_cnn,30,512,3,2,15,64,avg,adam,0.0001,2,0.8395833333333333
gated_cnn,30,512,3,2,15,64,max,adam,0.0001,2,0.8395833333333333
gated_cnn,30,512,3,2,15,128,avg,adam,0.0001,2,0.81875
gated_cnn,30,512,3,2,15,128,max,adam,0.0001,2,0.8354166666666667
gated_cnn,30,512,3,2,15,256,avg,adam,0.0001,2,0.8354166666666667
gated_cnn,30,512,3,2,15,256,max,adam,0.0001,2,0.8395833333333333
gated_cnn,30,64,3,2,15,64,avg,adam,1e-05,2,0.49375
gated_cnn,30,64,3,2,15,64,max,adam,1e-05,2,0.65625
