model_type,max_length,hidden_size,kernel_size,num_layers,epoch,batch_size,pooling_style,optimizer,learning_rate,class_num,vocab_size,acc
gated_cnn,30,64,3,8,15,64,avg,adam,0.001,2,4622,0.818872822
gated_cnn,30,64,3,6,15,64,avg,adam,0.001,2,4622,0.812106044
gated_cnn,30,64,3,6,15,64,max,adam,0.001,2,4622,0.847423063
gated_cnn,30,64,3,6,15,128,avg,adam,0.001,2,4622,0.818038561
gated_cnn,30,64,3,6,15,128,max,adam,0.001,2,4622,0.840470894
gated_cnn,30,128,3,6,15,64,avg,adam,0.001,2,4622,0.819892473
gated_cnn,30,128,3,6,15,64,max,adam,0.001,2,4622,0.84538376
gated_cnn,30,128,3,6,15,128,avg,adam,0.001,2,4622,0.824898035
gated_cnn,30,128,3,6,15,128,max,adam,0.001,2,4622,0.856321839
gated_cnn,30,256,3,6,15,64,avg,adam,0.001,2,4622,0.821560994
gated_cnn,30,256,3,6,15,64,max,adam,0.001,2,4622,0.854097145
gated_cnn,30,256,3,6,15,128,avg,adam,0.001,2,4622,0.823878383
gated_cnn,30,256,3,6,15,128,max,adam,0.001,2,4622,0.855580274
gated_cnn,30,512,3,6,15,64,avg,adam,0.001,2,4622,0.818780126
gated_cnn,30,512,3,6,15,64,max,adam,0.001,2,4622,0.857897664
gated_cnn,30,512,3,6,15,128,avg,adam,0.001,2,4622,0.822580645
gated_cnn,30,512,3,6,15,128,max,adam,0.001,2,4622,0.856136448
gated_cnn,30,64,3,6,15,64,avg,adam,0.0001,2,4622,0.732851316
gated_cnn,30,64,3,6,15,64,max,adam,0.0001,2,4622,0.789673712
gated_cnn,30,64,3,6,15,128,avg,adam,0.0001,2,4622,0.686596218
gated_cnn,30,64,3,6,15,128,max,adam,0.0001,2,4622,0.752039303
gated_cnn,30,128,3,6,15,64,avg,adam,0.0001,2,4622,0.805895439
gated_cnn,30,128,3,6,15,64,max,adam,0.0001,2,4622,0.832499073
gated_cnn,30,128,3,6,15,128,avg,adam,0.0001,2,4622,0.769373378
gated_cnn,30,128,3,6,15,128,max,adam,0.0001,2,4622,0.809603263
gated_cnn,30,256,3,6,15,64,avg,adam,0.0001,2,4622,0.827771598
gated_cnn,30,256,3,6,15,64,max,adam,0.0001,2,4622,0.858453838
gated_cnn,30,256,3,6,15,128,avg,adam,0.0001,2,4622,0.815257694
gated_cnn,30,256,3,6,15,128,max,adam,0.0001,2,4622,0.848257323
gated_cnn,30,512,3,6,15,64,avg,adam,0.0001,2,4622,0.842973674
gated_cnn,30,512,3,6,15,64,max,adam,0.0001,2,4622,0.859566185
gated_cnn,30,512,3,6,15,128,avg,adam,0.0001,2,4622,0.836114201
gated_cnn,30,512,3,6,15,128,max,adam,0.0001,2,4622,0.859288098
gated_cnn,30,64,3,6,15,64,avg,adam,1.00E-05,2,4622,0.66722284
gated_cnn,30,64,3,6,15,64,max,adam,1.00E-05,2,4622,0.639970337
gated_cnn,30,64,3,6,15,128,avg,adam,1.00E-05,2,4622,0.66091954
gated_cnn,30,64,3,6,15,128,max,adam,1.00E-05,2,4622,0.673248053
gated_cnn,30,128,3,6,15,64,avg,adam,1.00E-05,2,4622,0.680200222
gated_cnn,30,128,3,6,15,64,max,adam,1.00E-05,2,4622,0.718298109
gated_cnn,30,128,3,6,15,128,avg,adam,1.00E-05,2,4622,0.723581758
gated_cnn,30,128,3,6,15,128,max,adam,1.00E-05,2,4622,0.673618836
gated_cnn,30,256,3,6,15,64,avg,adam,1.00E-05,2,4622,0.712921765
gated_cnn,30,256,3,6,15,64,max,adam,1.00E-05,2,4622,0.755747126
gated_cnn,30,256,3,6,15,128,avg,adam,1.00E-05,2,4622,0.673340749
gated_cnn,30,256,3,6,15,128,max,adam,1.00E-05,2,4622,0.736744531
gated_cnn,30,512,3,6,15,64,avg,adam,1.00E-05,2,4622,0.762050426
gated_cnn,30,512,3,6,15,64,max,adam,1.00E-05,2,4622,0.819799778
gated_cnn,30,512,3,6,15,128,avg,adam,1.00E-05,2,4622,0.737022618
gated_cnn,30,512,3,6,15,128,max,adam,1.00E-05,2,4622,0.808490916
fast_text,30,64,3,6,15,64,avg,adam,0.001,2,4622,0.826844642
fast_text,30,64,3,6,15,64,max,adam,0.001,2,4622,0.757971821
fast_text,30,64,3,6,15,128,avg,adam,0.001,2,4622,0.77688172
fast_text,30,64,3,6,15,128,max,adam,0.001,2,4622,0.700871339
fast_text,30,128,3,6,15,64,avg,adam,0.001,2,4622,0.834816463
fast_text,30,128,3,6,15,64,max,adam,0.001,2,4622,0.804226919
fast_text,30,128,3,6,15,128,avg,adam,0.001,2,4622,0.813496478
fast_text,30,128,3,6,15,128,max,adam,0.001,2,4622,0.784111976
fast_text,30,256,3,6,15,64,avg,adam,0.001,2,4622,0.842417501
fast_text,30,256,3,6,15,64,max,adam,0.001,2,4622,0.81868743
fast_text,30,256,3,6,15,128,avg,adam,0.001,2,4622,0.823878383
fast_text,30,256,3,6,15,128,max,adam,0.001,2,4622,0.790878754
fast_text,30,512,3,6,15,64,avg,adam,0.001,2,4622,0.83991472
fast_text,30,512,3,6,15,64,max,adam,0.001,2,4622,0.808769003
fast_text,30,512,3,6,15,128,avg,adam,0.001,2,4622,0.834074898
fast_text,30,512,3,6,15,128,max,adam,0.001,2,4622,0.813311086
fast_text,30,64,3,6,15,64,avg,adam,0.0001,2,4622,0.679273267
fast_text,30,64,3,6,15,64,max,adam,0.0001,2,4622,0.65776789
fast_text,30,64,3,6,15,128,avg,adam,0.0001,2,4622,0.560159436
fast_text,30,64,3,6,15,128,max,adam,0.0001,2,4622,0.333704116
fast_text,30,128,3,6,15,64,avg,adam,0.0001,2,4622,0.700037078
fast_text,30,128,3,6,15,64,max,adam,0.0001,2,4622,0.700222469
fast_text,30,128,3,6,15,128,avg,adam,0.0001,2,4622,0.627641824
fast_text,30,128,3,6,15,128,max,adam,0.0001,2,4622,0.652391546
fast_text,30,256,3,6,15,64,avg,adam,0.0001,2,4622,0.711253244
fast_text,30,256,3,6,15,64,max,adam,0.0001,2,4622,0.719132369
fast_text,30,256,3,6,15,128,avg,adam,0.0001,2,4622,0.710418984
fast_text,30,256,3,6,15,128,max,adam,0.0001,2,4622,0.690952911
fast_text,30,512,3,6,15,64,avg,adam,0.0001,2,4622,0.754820171
fast_text,30,512,3,6,15,64,max,adam,0.0001,2,4622,0.737949574
fast_text,30,512,3,6,15,128,avg,adam,0.0001,2,4622,0.694475343
fast_text,30,512,3,6,15,128,max,adam,0.0001,2,4622,0.695402299
fast_text,30,64,3,6,15,64,avg,adam,1.00E-05,2,4622,0.334723767
fast_text,30,64,3,6,15,64,max,adam,1.00E-05,2,4622,0.668891361
fast_text,30,64,3,6,15,128,avg,adam,1.00E-05,2,4622,0.462550983
fast_text,30,64,3,6,15,128,max,adam,1.00E-05,2,4622,0.334723767
fast_text,30,128,3,6,15,64,avg,adam,1.00E-05,2,4622,0.583147942
fast_text,30,128,3,6,15,64,max,adam,1.00E-05,2,4622,0.377919911
