model_type,epoch,opt,lr,hidden_size,batch_size,pooling_style,time_value,acc,call_back,loss,precision
cnn,5,adam,0.1,128,128,avg,9,0.8598247809762203,0.773989898989899,0.27624275465806325,0.7961038961038961
cnn,5,adam,0.1,128,128,max,2,0.8247809762202754,0.6893939393939394,27.59972942352295,0.7583333333333333
cnn,5,adam,0.1,128,128,last,3,0.6403838130997079,0.09090909090909091,18.183869279225668,0.3364485981308411
cnn,5,adam,0.1,512,128,avg,3,0.8539841468502295,0.7575757575757576,93.82134358088176,0.7915567282321899
cnn,5,adam,0.1,512,128,max,4,0.7847309136420526,0.7348484848484849,320.29393493652344,0.6554054054054054
cnn,5,adam,0.1,512,128,last,4,0.5965790571547768,0.10606060606060606,254.58707443237304,0.24489795918367346
cnn,5,adam,0.001,128,128,avg,3,0.8769294952023362,0.7752525252525253,0.3049215418100357,0.8399452804377565
cnn,5,adam,0.001,128,128,max,4,0.885273258239466,0.8345959595959596,0.16005617916584014,0.8211180124223603
cnn,5,adam,0.001,128,128,last,4,0.6591572799332499,0.056818181818181816,0.5842647484938304,0.391304347826087
cnn,5,adam,0.001,512,128,avg,4,0.886107634543179,0.7840909090909091,0.2850984032948812,0.8589211618257261
cnn,5,adam,0.001,512,128,max,4,0.8902795160617438,0.8371212121212122,0.06614224068820476,0.8318695106649937
cnn,5,adam,0.001,512,128,last,4,0.6620775969962454,0.07575757575757576,0.5673817654450735,0.43478260869565216
cnn,5,sgd,0.1,128,128,avg,4,0.8268669169795578,0.6578282828282829,0.4112664357821147,0.7834586466165413
cnn,5,sgd,0.1,128,128,max,4,0.8802670004171882,0.8232323232323232,0.21295492152372997,0.8160200250312891
cnn,5,sgd,0.1,128,128,last,4,0.6612432206925324,0.050505050505050504,0.6093122410774231,0.4
cnn,5,sgd,0.1,512,128,avg,3,0.8731748018356279,0.7310606060606061,0.33569138526916503,0.8641791044776119
cnn,5,sgd,0.1,512,128,max,3,0.8756779307467668,0.7853535353535354,0.054378046542406085,0.8293333333333334
cnn,5,sgd,0.1,512,128,last,3,0.6624947851481018,0.0707070707070707,0.5852844154834748,0.43410852713178294
cnn,5,sgd,0.001,128,128,avg,2,0.6716729244889446,0.006313131313131313,0.6357218813896179,1.0
cnn,5,sgd,0.001,128,128,max,3,0.685857321652065,0.06060606060606061,0.5905652491251627,0.8421052631578947
cnn,5,sgd,0.001,128,128,last,2,0.6090947017104714,0.08207070707070707,0.6746574568748475,0.23636363636363636
cnn,5,sgd,0.001,512,128,avg,3,0.6962870254484773,0.09343434343434344,0.6047515527407328,0.8809523809523809
cnn,5,sgd,0.001,512,128,max,3,0.7930746766791823,0.4659090909090909,0.4931843368212382,0.834841628959276
cnn,5,sgd,0.001,512,128,last,3,0.6174384647476012,0.059343434343434344,0.6556333510080973,0.2146118721461187
cnn,15,adam,0.1,128,128,avg,8,0.8598247809762203,0.7638888888888888,1.1209081284205118,0.8023872679045093
cnn,15,adam,0.1,128,128,max,8,0.8218606591572799,0.5833333333333334,33.14121514638265,0.8264758497316637
cnn,15,adam,0.1,128,128,last,8,0.6111806424697539,0.12373737373737374,11.603636960983277,0.2916666666666667
cnn,15,adam,0.1,512,128,avg,9,0.8564872757613684,0.7626262626262627,5.354751100540161,0.7947368421052632
cnn,15,adam,0.1,512,128,max,9,0.8356278681685441,0.6906565656565656,474.1719942220052,0.7859195402298851
cnn,15,adam,0.1,512,128,last,9,0.605340008343763,0.125,307.02446365356445,0.28125
cnn,15,adam,0.001,128,128,avg,8,0.8731748018356279,0.7904040404040404,0.24050450801849366,0.819371727748691
cnn,15,adam,0.001,128,128,max,8,0.8873591989987485,0.8005050505050505,0.010386849989493688,0.8498659517426274
cnn,15,adam,0.001,128,128,last,8,0.6562369628702545,0.07449494949494949,0.5401661535104115,0.3933333333333333
cnn,15,adam,0.001,512,128,avg,9,0.869837296620776,0.7878787878787878,0.2352294921875,0.8125
cnn,15,adam,0.001,512,128,max,10,0.8735919899874843,0.7613636363636364,0.05239980480633676,0.8410041841004184
cnn,15,adam,0.001,512,128,last,9,0.6495619524405507,0.07449494949494949,0.5366549921035767,0.35542168674698793
cnn,15,sgd,0.1,128,128,avg,8,0.8289528577388402,0.6881313131313131,0.39948647578557334,0.769774011299435
cnn,15,sgd,0.1,128,128,max,8,0.8836045056320401,0.7588383838383839,0.019258086048066617,0.872278664731495
cnn,15,sgd,0.1,128,128,last,8,0.6512307050479766,0.050505050505050504,0.6047067189216614,0.3225806451612903
cnn,15,sgd,0.1,512,128,avg,8,0.8823529411764706,0.7815656565656566,0.3093491917848587,0.8502747252747253
cnn,15,sgd,0.1,512,128,max,9,0.8877763871506049,0.7853535353535354,0.006241267655665675,0.8626907073509015
cnn,15,sgd,0.1,512,128,last,8,0.6453900709219859,0.09343434343434344,0.5649933270613352,0.3592233009708738
cnn,15,sgd,0.001,128,128,avg,8,0.6800166875260742,0.039141414141414144,0.6026200493176778,0.8378378378378378
cnn,15,sgd,0.001,128,128,max,8,0.785148101793909,0.43434343434343436,0.4911566372712453,0.8369829683698297
cnn,15,sgd,0.001,128,128,last,8,0.6382978723404256,0.03156565656565657,0.6421783947944641,0.2
cnn,15,sgd,0.001,512,128,avg,10,0.7555277430120985,0.2916666666666667,0.5411341142654419,0.90234375
cnn,15,sgd,0.001,512,128,max,9,0.8406341259908219,0.6237373737373737,0.3852156400680542,0.8546712802768166
cnn,15,sgd,0.001,512,128,last,9,0.6503963287442637,0.03787878787878788,0.6203024554252624,0.2830188679245283
bert,5,adam,0.1,128,128,avg,115,0.6695869837296621,0.0,0.6407607420285543,0.0
bert,5,adam,0.1,128,128,max,123,0.6695869837296621,0.0,0.6543146753311158,0.0
bert,5,adam,0.1,128,128,last,130,0.6695869837296621,0.0,0.6672006146113078,0.0
bert,5,adam,0.1,512,128,avg,130,0.6695869837296621,0.0,0.6477758359909057,0.0
bert,5,adam,0.1,512,128,max,131,0.6695869837296621,0.0,0.6487256717681885,0.0
bert,5,adam,0.1,512,128,last,135,0.6695869837296621,0.0,0.6572627822558085,0.0
bert,5,adam,0.001,128,128,avg,130,0.6695869837296621,0.0,0.6393274680773418,0.0
bert,5,adam,0.001,128,128,max,130,0.6695869837296621,0.0,0.6388338216145834,0.0
