,model_path,train_data_path,valid_data_path,vocab_path,model_type,max_length,hidden_size,kernel_size,num_layers,epoch,batch_size,pooling_style,optimizer,learning_rate,pretrain_model_path,seed,accurancy,class_num,vocab_size
0,output,文本分类练习Train.csv,文本分类练习Test.csv,chars.txt,fast_text,30,128,3,2,15,64,avg,adam,0.001,E:\学习资料_summary\八斗课程-精品班\第六周\bert-base-chinese,987,0.8888888888888888,,
1,output,文本分类练习Train.csv,文本分类练习Test.csv,chars.txt,fast_text,30,128,3,2,15,64,max,adam,0.001,E:\学习资料_summary\八斗课程-精品班\第六周\bert-base-chinese,987,0.8787878787878788,2.0,4622.0
2,output,文本分类练习Train.csv,文本分类练习Test.csv,chars.txt,fast_text,30,128,3,2,15,128,avg,adam,0.001,E:\学习资料_summary\八斗课程-精品班\第六周\bert-base-chinese,987,0.8888888888888888,2.0,4622.0
3,output,文本分类练习Train.csv,文本分类练习Test.csv,chars.txt,fast_text,30,128,3,2,15,128,max,adam,0.001,E:\学习资料_summary\八斗课程-精品班\第六周\bert-base-chinese,987,0.8585858585858586,2.0,4622.0
4,output,文本分类练习Train.csv,文本分类练习Test.csv,chars.txt,fast_text,30,256,3,2,15,64,avg,adam,0.001,E:\学习资料_summary\八斗课程-精品班\第六周\bert-base-chinese,987,0.8888888888888888,2.0,4622.0
5,output,文本分类练习Train.csv,文本分类练习Test.csv,chars.txt,fast_text,30,256,3,2,15,64,max,adam,0.001,E:\学习资料_summary\八斗课程-精品班\第六周\bert-base-chinese,987,0.8787878787878788,2.0,4622.0
6,output,文本分类练习Train.csv,文本分类练习Test.csv,chars.txt,fast_text,30,256,3,2,15,128,avg,adam,0.001,E:\学习资料_summary\八斗课程-精品班\第六周\bert-base-chinese,987,0.8888888888888888,2.0,4622.0
7,output,文本分类练习Train.csv,文本分类练习Test.csv,chars.txt,fast_text,30,256,3,2,15,128,max,adam,0.001,E:\学习资料_summary\八斗课程-精品班\第六周\bert-base-chinese,987,0.9191919191919192,2.0,4622.0
8,output,文本分类练习Train.csv,文本分类练习Test.csv,chars.txt,fast_text,30,128,3,2,15,64,avg,adam,0.0001,E:\学习资料_summary\八斗课程-精品班\第六周\bert-base-chinese,987,0.8181818181818182,2.0,4622.0
9,output,文本分类练习Train.csv,文本分类练习Test.csv,chars.txt,fast_text,30,128,3,2,15,64,max,adam,0.0001,E:\学习资料_summary\八斗课程-精品班\第六周\bert-base-chinese,987,0.7777777777777778,2.0,4622.0
10,output,文本分类练习Train.csv,文本分类练习Test.csv,chars.txt,fast_text,30,128,3,2,15,128,avg,adam,0.0001,E:\学习资料_summary\八斗课程-精品班\第六周\bert-base-chinese,987,0.797979797979798,2.0,4622.0
11,output,文本分类练习Train.csv,文本分类练习Test.csv,chars.txt,fast_text,30,128,3,2,15,128,max,adam,0.0001,E:\学习资料_summary\八斗课程-精品班\第六周\bert-base-chinese,987,0.7171717171717171,2.0,4622.0
12,output,文本分类练习Train.csv,文本分类练习Test.csv,chars.txt,fast_text,30,256,3,2,15,64,avg,adam,0.0001,E:\学习资料_summary\八斗课程-精品班\第六周\bert-base-chinese,987,0.8484848484848485,2.0,4622.0
13,output,文本分类练习Train.csv,文本分类练习Test.csv,chars.txt,fast_text,30,256,3,2,15,64,max,adam,0.0001,E:\学习资料_summary\八斗课程-精品班\第六周\bert-base-chinese,987,0.8181818181818182,2.0,4622.0
14,output,文本分类练习Train.csv,文本分类练习Test.csv,chars.txt,fast_text,30,256,3,2,15,128,avg,adam,0.0001,E:\学习资料_summary\八斗课程-精品班\第六周\bert-base-chinese,987,0.8181818181818182,2.0,4622.0
15,output,文本分类练习Train.csv,文本分类练习Test.csv,chars.txt,fast_text,30,256,3,2,15,128,max,adam,0.0001,E:\学习资料_summary\八斗课程-精品班\第六周\bert-base-chinese,987,0.7575757575757576,2.0,4622.0
16,output,文本分类练习Train.csv,文本分类练习Test.csv,chars.txt,lstm,30,128,3,2,15,64,avg,adam,0.001,E:\学习资料_summary\八斗课程-精品班\第六周\bert-base-chinese,987,0.898989898989899,2.0,4622.0
17,output,文本分类练习Train.csv,文本分类练习Test.csv,chars.txt,lstm,30,128,3,2,15,64,max,adam,0.001,E:\学习资料_summary\八斗课程-精品班\第六周\bert-base-chinese,987,0.8585858585858586,2.0,4622.0
18,output,文本分类练习Train.csv,文本分类练习Test.csv,chars.txt,lstm,30,128,3,2,15,128,avg,adam,0.001,E:\学习资料_summary\八斗课程-精品班\第六周\bert-base-chinese,987,0.8787878787878788,2.0,4622.0
19,output,文本分类练习Train.csv,文本分类练习Test.csv,chars.txt,lstm,30,128,3,2,15,128,max,adam,0.001,E:\学习资料_summary\八斗课程-精品班\第六周\bert-base-chinese,987,0.8686868686868687,2.0,4622.0
20,output,文本分类练习Train.csv,文本分类练习Test.csv,chars.txt,lstm,30,256,3,2,15,64,avg,adam,0.001,E:\学习资料_summary\八斗课程-精品班\第六周\bert-base-chinese,987,0.8585858585858586,2.0,4622.0
21,output,文本分类练习Train.csv,文本分类练习Test.csv,chars.txt,lstm,30,256,3,2,15,64,max,adam,0.001,E:\学习资料_summary\八斗课程-精品班\第六周\bert-base-chinese,987,0.8282828282828283,2.0,4622.0
22,output,文本分类练习Train.csv,文本分类练习Test.csv,chars.txt,lstm,30,256,3,2,15,128,avg,adam,0.001,E:\学习资料_summary\八斗课程-精品班\第六周\bert-base-chinese,987,0.8686868686868687,2.0,4622.0
23,output,文本分类练习Train.csv,文本分类练习Test.csv,chars.txt,lstm,30,256,3,2,15,128,max,adam,0.001,E:\学习资料_summary\八斗课程-精品班\第六周\bert-base-chinese,987,0.8383838383838383,2.0,4622.0
24,output,文本分类练习Train.csv,文本分类练习Test.csv,chars.txt,lstm,30,128,3,2,15,64,avg,adam,0.0001,E:\学习资料_summary\八斗课程-精品班\第六周\bert-base-chinese,987,0.898989898989899,2.0,4622.0
25,output,文本分类练习Train.csv,文本分类练习Test.csv,chars.txt,lstm,30,128,3,2,15,64,max,adam,0.0001,E:\学习资料_summary\八斗课程-精品班\第六周\bert-base-chinese,987,0.8686868686868687,2.0,4622.0
26,output,文本分类练习Train.csv,文本分类练习Test.csv,chars.txt,lstm,30,128,3,2,15,128,avg,adam,0.0001,E:\学习资料_summary\八斗课程-精品班\第六周\bert-base-chinese,987,0.8787878787878788,2.0,4622.0
27,output,文本分类练习Train.csv,文本分类练习Test.csv,chars.txt,lstm,30,128,3,2,15,128,max,adam,0.0001,E:\学习资料_summary\八斗课程-精品班\第六周\bert-base-chinese,987,0.8484848484848485,2.0,4622.0
28,output,文本分类练习Train.csv,文本分类练习Test.csv,chars.txt,lstm,30,256,3,2,15,64,avg,adam,0.0001,E:\学习资料_summary\八斗课程-精品班\第六周\bert-base-chinese,987,0.9191919191919192,2.0,4622.0
29,output,文本分类练习Train.csv,文本分类练习Test.csv,chars.txt,lstm,30,256,3,2,15,64,max,adam,0.0001,E:\学习资料_summary\八斗课程-精品班\第六周\bert-base-chinese,987,0.8484848484848485,2.0,4622.0
30,output,文本分类练习Train.csv,文本分类练习Test.csv,chars.txt,lstm,30,256,3,2,15,128,avg,adam,0.0001,E:\学习资料_summary\八斗课程-精品班\第六周\bert-base-chinese,987,0.9191919191919192,2.0,4622.0
31,output,文本分类练习Train.csv,文本分类练习Test.csv,chars.txt,lstm,30,256,3,2,15,128,max,adam,0.0001,E:\学习资料_summary\八斗课程-精品班\第六周\bert-base-chinese,987,0.8686868686868687,2.0,4622.0
32,output,文本分类练习Train.csv,文本分类练习Test.csv,chars.txt,gru,30,128,3,2,15,64,avg,adam,0.001,E:\学习资料_summary\八斗课程-精品班\第六周\bert-base-chinese,987,0.898989898989899,2.0,4622.0
33,output,文本分类练习Train.csv,文本分类练习Test.csv,chars.txt,gru,30,128,3,2,15,64,max,adam,0.001,E:\学习资料_summary\八斗课程-精品班\第六周\bert-base-chinese,987,0.8181818181818182,2.0,4622.0
34,output,文本分类练习Train.csv,文本分类练习Test.csv,chars.txt,gru,30,128,3,2,15,128,avg,adam,0.001,E:\学习资料_summary\八斗课程-精品班\第六周\bert-base-chinese,987,0.898989898989899,2.0,4622.0
35,output,文本分类练习Train.csv,文本分类练习Test.csv,chars.txt,gru,30,128,3,2,15,128,max,adam,0.001,E:\学习资料_summary\八斗课程-精品班\第六周\bert-base-chinese,987,0.8383838383838383,2.0,4622.0
36,output,文本分类练习Train.csv,文本分类练习Test.csv,chars.txt,gru,30,256,3,2,15,64,avg,adam,0.001,E:\学习资料_summary\八斗课程-精品班\第六周\bert-base-chinese,987,0.8787878787878788,2.0,4622.0
37,output,文本分类练习Train.csv,文本分类练习Test.csv,chars.txt,gru,30,256,3,2,15,64,max,adam,0.001,E:\学习资料_summary\八斗课程-精品班\第六周\bert-base-chinese,987,0.8585858585858586,2.0,4622.0
38,output,文本分类练习Train.csv,文本分类练习Test.csv,chars.txt,gru,30,256,3,2,15,128,avg,adam,0.001,E:\学习资料_summary\八斗课程-精品班\第六周\bert-base-chinese,987,0.9292929292929293,2.0,4622.0
39,output,文本分类练习Train.csv,文本分类练习Test.csv,chars.txt,gru,30,256,3,2,15,128,max,adam,0.001,E:\学习资料_summary\八斗课程-精品班\第六周\bert-base-chinese,987,0.8585858585858586,2.0,4622.0
40,output,文本分类练习Train.csv,文本分类练习Test.csv,chars.txt,gru,30,128,3,2,15,64,avg,adam,0.0001,E:\学习资料_summary\八斗课程-精品班\第六周\bert-base-chinese,987,0.898989898989899,2.0,4622.0
41,output,文本分类练习Train.csv,文本分类练习Test.csv,chars.txt,gru,30,128,3,2,15,64,max,adam,0.0001,E:\学习资料_summary\八斗课程-精品班\第六周\bert-base-chinese,987,0.898989898989899,2.0,4622.0
42,output,文本分类练习Train.csv,文本分类练习Test.csv,chars.txt,gru,30,128,3,2,15,128,avg,adam,0.0001,E:\学习资料_summary\八斗课程-精品班\第六周\bert-base-chinese,987,0.898989898989899,2.0,4622.0
43,output,文本分类练习Train.csv,文本分类练习Test.csv,chars.txt,gru,30,128,3,2,15,128,max,adam,0.0001,E:\学习资料_summary\八斗课程-精品班\第六周\bert-base-chinese,987,0.8585858585858586,2.0,4622.0
44,output,文本分类练习Train.csv,文本分类练习Test.csv,chars.txt,gru,30,256,3,2,15,64,avg,adam,0.0001,E:\学习资料_summary\八斗课程-精品班\第六周\bert-base-chinese,987,0.898989898989899,2.0,4622.0
45,output,文本分类练习Train.csv,文本分类练习Test.csv,chars.txt,gru,30,256,3,2,15,64,max,adam,0.0001,E:\学习资料_summary\八斗课程-精品班\第六周\bert-base-chinese,987,0.8888888888888888,2.0,4622.0
46,output,文本分类练习Train.csv,文本分类练习Test.csv,chars.txt,gru,30,256,3,2,15,128,avg,adam,0.0001,E:\学习资料_summary\八斗课程-精品班\第六周\bert-base-chinese,987,0.8888888888888888,2.0,4622.0
47,output,文本分类练习Train.csv,文本分类练习Test.csv,chars.txt,gru,30,256,3,2,15,128,max,adam,0.0001,E:\学习资料_summary\八斗课程-精品班\第六周\bert-base-chinese,987,0.8585858585858586,2.0,4622.0
48,output,文本分类练习Train.csv,文本分类练习Test.csv,chars.txt,rnn,30,128,3,2,15,64,avg,adam,0.001,E:\学习资料_summary\八斗课程-精品班\第六周\bert-base-chinese,987,0.8888888888888888,2.0,4622.0
49,output,文本分类练习Train.csv,文本分类练习Test.csv,chars.txt,rnn,30,128,3,2,15,64,max,adam,0.001,E:\学习资料_summary\八斗课程-精品班\第六周\bert-base-chinese,987,0.8888888888888888,2.0,4622.0
50,output,文本分类练习Train.csv,文本分类练习Test.csv,chars.txt,rnn,30,128,3,2,15,128,avg,adam,0.001,E:\学习资料_summary\八斗课程-精品班\第六周\bert-base-chinese,987,0.9090909090909091,2.0,4622.0
51,output,文本分类练习Train.csv,文本分类练习Test.csv,chars.txt,rnn,30,128,3,2,15,128,max,adam,0.001,E:\学习资料_summary\八斗课程-精品班\第六周\bert-base-chinese,987,0.8282828282828283,2.0,4622.0
52,output,文本分类练习Train.csv,文本分类练习Test.csv,chars.txt,rnn,30,256,3,2,15,64,avg,adam,0.001,E:\学习资料_summary\八斗课程-精品班\第六周\bert-base-chinese,987,0.8686868686868687,2.0,4622.0
53,output,文本分类练习Train.csv,文本分类练习Test.csv,chars.txt,rnn,30,256,3,2,15,64,max,adam,0.001,E:\学习资料_summary\八斗课程-精品班\第六周\bert-base-chinese,987,0.8383838383838383,2.0,4622.0
54,output,文本分类练习Train.csv,文本分类练习Test.csv,chars.txt,rnn,30,256,3,2,15,128,avg,adam,0.001,E:\学习资料_summary\八斗课程-精品班\第六周\bert-base-chinese,987,0.898989898989899,2.0,4622.0
55,output,文本分类练习Train.csv,文本分类练习Test.csv,chars.txt,rnn,30,256,3,2,15,128,max,adam,0.001,E:\学习资料_summary\八斗课程-精品班\第六周\bert-base-chinese,987,0.8888888888888888,2.0,4622.0
56,output,文本分类练习Train.csv,文本分类练习Test.csv,chars.txt,rnn,30,128,3,2,15,64,avg,adam,0.0001,E:\学习资料_summary\八斗课程-精品班\第六周\bert-base-chinese,987,0.8484848484848485,2.0,4622.0
57,output,文本分类练习Train.csv,文本分类练习Test.csv,chars.txt,rnn,30,128,3,2,15,64,max,adam,0.0001,E:\学习资料_summary\八斗课程-精品班\第六周\bert-base-chinese,987,0.9090909090909091,2.0,4622.0
58,output,文本分类练习Train.csv,文本分类练习Test.csv,chars.txt,rnn,30,128,3,2,15,128,avg,adam,0.0001,E:\学习资料_summary\八斗课程-精品班\第六周\bert-base-chinese,987,0.8585858585858586,2.0,4622.0
59,output,文本分类练习Train.csv,文本分类练习Test.csv,chars.txt,rnn,30,128,3,2,15,128,max,adam,0.0001,E:\学习资料_summary\八斗课程-精品班\第六周\bert-base-chinese,987,0.8686868686868687,2.0,4622.0
60,output,文本分类练习Train.csv,文本分类练习Test.csv,chars.txt,rnn,30,256,3,2,15,64,avg,adam,0.0001,E:\学习资料_summary\八斗课程-精品班\第六周\bert-base-chinese,987,0.9090909090909091,2.0,4622.0
61,output,文本分类练习Train.csv,文本分类练习Test.csv,chars.txt,rnn,30,256,3,2,15,64,max,adam,0.0001,E:\学习资料_summary\八斗课程-精品班\第六周\bert-base-chinese,987,0.8686868686868687,2.0,4622.0
62,output,文本分类练习Train.csv,文本分类练习Test.csv,chars.txt,rnn,30,256,3,2,15,128,avg,adam,0.0001,E:\学习资料_summary\八斗课程-精品班\第六周\bert-base-chinese,987,0.8787878787878788,2.0,4622.0
63,output,文本分类练习Train.csv,文本分类练习Test.csv,chars.txt,rnn,30,256,3,2,15,128,max,adam,0.0001,E:\学习资料_summary\八斗课程-精品班\第六周\bert-base-chinese,987,0.9292929292929293,2.0,4622.0
64,output,文本分类练习Train.csv,文本分类练习Test.csv,chars.txt,gated_cnn,30,128,3,2,15,64,avg,adam,0.001,E:\学习资料_summary\八斗课程-精品班\第六周\bert-base-chinese,987,0.8686868686868687,2.0,4622.0
65,output,文本分类练习Train.csv,文本分类练习Test.csv,chars.txt,gated_cnn,30,128,3,2,15,64,max,adam,0.001,E:\学习资料_summary\八斗课程-精品班\第六周\bert-base-chinese,987,0.8484848484848485,2.0,4622.0
66,output,文本分类练习Train.csv,文本分类练习Test.csv,chars.txt,gated_cnn,30,128,3,2,15,128,avg,adam,0.001,E:\学习资料_summary\八斗课程-精品班\第六周\bert-base-chinese,987,0.8888888888888888,2.0,4622.0
67,output,文本分类练习Train.csv,文本分类练习Test.csv,chars.txt,gated_cnn,30,128,3,2,15,128,max,adam,0.001,E:\学习资料_summary\八斗课程-精品班\第六周\bert-base-chinese,987,0.8686868686868687,2.0,4622.0
