模型, 长度,学习率, 优化器类型,batch_size,hidden_size,pooling_style,epoch_num,kernel_size,time,acc
gru,30,0.001,adam,64,768,max,10,4,6.991105795,0.747222222
gru,30,0.001,adam,64,768,max,20,3,7.208594322,0.744444444
gru,30,0.001,adam,64,768,max,20,4,6.886219263,0.741666667
gru,50,0.001,adam,64,768,max,20,3,7.42412734,0.741666667
gru,100,0.001,adam,64,768,max,10,4,10.82490659,0.733333333
gru,30,0.001,adam,64,768,avg,20,3,7.32098794,0.730555556
gru,50,0.001,adam,64,768,avg,10,3,7.548095465,0.727777778
gru,50,0.001,adam,64,768,avg,20,3,7.572047949,0.727777778
gru,50,0.001,adam,64,768,max,10,3,7.550785065,0.727777778
gru,100,0.001,adam,64,768,avg,10,3,10.8450458,0.727777778
gru,100,0.001,adam,64,768,avg,20,4,11.19172549,0.727777778
gru,30,0.001,adam,64,768,avg,20,4,6.853719234,0.725
gru,30,0.001,adam,64,768,max,10,3,6.829087019,0.725
gru,100,0.001,adam,64,768,max,20,3,10.85558033,0.725
gru,100,0.001,adam,64,768,avg,10,4,10.77067041,0.722222222
gru,100,0.001,adam,64,768,avg,20,3,10.92211819,0.722222222
lstm,30,0.001,adam,64,768,avg,10,3,7.181895256,0.719444444
lstm,50,0.001,adam,64,768,avg,10,4,9.364794731,0.719444444
lstm,200,0.001,adam,64,768,max,10,4,22.02215075,0.719444444
gru,30,0.001,adam,64,768,avg,10,3,7.280953646,0.716666667
gru,50,0.001,adam,64,768,avg,20,4,7.366464376,0.716666667
gru,100,0.001,adam,64,768,max,20,4,10.97053576,0.716666667
gru,30,0.001,adam,768,768,avg,10,3,5.283468485,0.713888889
gru,50,0.001,adam,64,768,avg,10,4,7.465135098,0.713888889
lstm,50,0.001,adam,64,768,max,10,3,9.431011677,0.711111111
lstm,100,0.001,adam,64,768,avg,10,3,13.03193045,0.711111111
gru,30,0.001,adam,64,768,avg,10,4,7.010093451,0.711111111
gru,100,0.001,adam,64,768,max,10,3,11.03158712,0.711111111
gru,100,0.001,adam,768,768,avg,20,3,9.672483206,0.711111111
gru,100,0.001,adam,768,768,max,20,4,9.553248882,0.711111111
lstm,100,0.001,adam,64,768,avg,20,3,13.28089213,0.708333333
lstm,100,0.001,adam,64,768,max,20,4,13.18058634,0.708333333
lstm,200,0.001,adam,64,768,max,10,3,22.19785166,0.708333333
gru,50,0.001,adam,64,768,max,10,4,7.373162746,0.708333333
gru,50,0.001,adam,64,768,max,20,4,7.421053171,0.708333333
gru,50,0.001,adam,768,768,avg,20,4,6.422096968,0.708333333
lstm,50,0.001,adam,64,768,avg,20,4,9.345698595,0.705555556
lstm,200,0.001,adam,64,768,avg,20,4,22.15342379,0.705555556
gru,30,0.001,adam,768,768,max,20,4,4.982146502,0.702777778
gru,100,0.001,adam,768,768,avg,10,3,9.505849838,0.702777778
lstm,30,0.001,adam,64,768,avg,20,4,7.627733469,0.7
lstm,50,0.001,adam,64,768,max,10,4,9.348509789,0.7
lstm,200,0.001,adam,64,768,max,20,4,22.26808453,0.7
gru,50,0.001,adam,768,768,avg,20,3,6.308775425,0.7
gru,100,0.001,adam,768,768,max,10,3,9.511434793,0.7
lstm,50,0.001,adam,64,768,max,20,4,8.998374939,0.697222222
gru,30,0.001,adam,768,768,avg,20,3,4.945819616,0.697222222
lstm,30,0.001,adam,64,768,avg,20,3,7.757671595,0.694444444
lstm,30,0.001,adam,64,768,max,20,4,7.30022192,0.694444444
lstm,200,0.001,adam,64,768,max,20,3,22.31675434,0.694444444
gru,50,0.001,adam,768,768,max,20,3,6.31934762,0.694444444
gru,100,0.001,adam,768,768,avg,20,4,9.66328764,0.694444444
lstm,30,0.001,adam,64,768,avg,10,4,7.158598661,0.691666667
lstm,30,0.001,adam,64,768,max,10,3,7.659758568,0.691666667
lstm,100,0.001,adam,64,768,max,10,3,13.41483498,0.691666667
lstm,200,0.001,adam,64,768,avg,10,4,22.16426373,0.691666667
gru,100,0.001,adam,768,768,max,20,3,9.32439518,0.691666667
lstm,30,0.001,adam,64,768,max,20,3,7.48375082,0.688888889
lstm,200,0.001,adam,64,768,avg,20,3,22.24945235,0.688888889
gru,50,0.001,adam,768,768,max,10,4,6.375099659,0.688888889
lstm,50,0.001,adam,64,768,max,20,3,9.200853348,0.686111111
lstm,200,0.001,adam,64,768,avg,10,3,22.20075417,0.686111111
gru,30,0.001,adam,768,768,max,10,3,5.085223675,0.686111111
gru,30,0.001,adam,768,768,avg,20,4,5.290568829,0.683333333
gru,50,0.001,adam,768,768,avg,10,3,6.546988964,0.683333333
gru,50,0.001,adam,768,768,avg,10,4,6.416343689,0.683333333
lstm,100,0.001,adam,64,768,avg,10,4,13.21763802,0.680555556
gru,30,0.001,adam,768,768,max,10,4,5.113628626,0.680555556
gru,50,0.001,adam,768,768,max,10,3,6.383321047,0.680555556
lstm,100,0.001,adam,64,768,avg,20,4,13.61142015,0.677777778
gru,30,0.001,adam,768,768,max,20,3,5.169821501,0.677777778
gru,100,0.001,adam,768,768,max,10,4,9.551474333,0.677777778
lstm,100,0.001,adam,64,768,max,10,4,13.45857406,0.675
gru,30,0.001,adam,768,768,avg,10,4,5.101745129,0.675
lstm,30,0.001,adam,64,768,max,10,4,7.650831699,0.672222222
gru,50,0.001,adam,768,768,max,20,4,6.450666428,0.672222222
gru,100,0.001,adam,768,768,avg,10,4,9.720148563,0.666666667
lstm,100,0.001,adam,64,768,max,20,3,13.20183897,0.661111111
lstm,50,0.001,adam,64,768,avg,20,3,9.115153551,0.658333333
gru,100,0.0001,adam,64,768,avg,20,4,11.44104481,0.652777778
gru,30,0.0001,adam,64,768,avg,20,3,6.222382069,0.65
gru,50,0.0001,adam,64,768,max,20,3,7.327403307,0.65
gru,100,0.0001,adam,64,768,avg,20,3,11.51119232,0.65
lstm,50,0.001,adam,768,768,max,20,4,7.539831161,0.644444444
gru,30,0.0001,adam,64,768,avg,10,4,6.053874254,0.644444444
gru,50,0.0001,adam,64,768,avg,20,4,7.418033123,0.644444444
gru,100,0.0001,adam,64,768,max,20,3,11.51666379,0.644444444
gru,50,0.0001,adam,64,768,avg,10,4,7.353337526,0.641666667
gru,50,0.0001,adam,64,768,max,10,4,7.341490984,0.638888889
gru,100,0.0001,adam,64,768,avg,10,4,11.43855524,0.638888889
lstm,100,0.001,adam,768,768,max,10,4,10.9447844,0.636111111
gru,30,0.0001,adam,64,768,max,10,3,6.360688686,0.636111111
gru,100,0.0001,adam,64,768,max,20,4,11.7489388,0.636111111
lstm,50,0.001,adam,768,768,avg,20,3,7.298997402,0.633333333
gru,50,0.0001,adam,64,768,avg,20,3,7.299094439,0.633333333
lstm,50,0.001,adam,768,768,max,10,4,7.38460803,0.630555556
gru,30,0.0001,adam,64,768,avg,10,3,6.408911228,0.630555556
lstm,30,0.001,adam,768,768,max,10,3,6.251396894,0.627777778
lstm,100,0.001,adam,768,768,avg,10,3,11.08211303,0.627777778
lstm,100,0.001,adam,768,768,avg,20,4,10.97958374,0.627777778
lstm,100,0.001,adam,768,768,max,20,4,10.92044663,0.627777778
gru,50,0.0001,adam,64,768,max,10,3,7.368380308,0.627777778
lstm,30,0.001,adam,768,768,avg,20,3,6.307124615,0.625
lstm,100,0.001,adam,768,768,max,10,3,11.06438327,0.625
lstm,100,0.001,adam,768,768,max,20,3,10.89518619,0.625
gru,30,0.0001,adam,64,768,max,20,3,8.651931763,0.625
gru,50,0.0001,adam,64,768,max,20,4,7.498362064,0.625
gru,100,0.0001,adam,64,768,avg,10,3,11.4672513,0.625
lstm,50,0.001,adam,768,768,avg,10,3,7.416053295,0.619444444
lstm,50,0.001,adam,768,768,avg,10,4,7.281598568,0.619444444
lstm,50,0.001,adam,768,768,max,10,3,7.367168903,0.619444444
lstm,100,0.001,adam,768,768,avg,10,4,10.99717593,0.619444444
lstm,200,0.001,adam,768,768,avg,10,4,20.14813423,0.619444444
gru,30,0.0001,adam,64,768,avg,20,4,6.224113703,0.619444444
gru,50,0.0001,adam,64,768,avg,10,3,7.406768799,0.619444444
lstm,50,0.001,adam,768,768,max,20,3,7.416328669,0.616666667
lstm,200,0.001,adam,768,768,avg,20,3,20.05452251,0.616666667
gru,30,0.0001,adam,64,768,max,10,4,7.008923292,0.616666667
lstm,30,0.001,adam,768,768,avg,20,4,6.354767561,0.613888889
gru,100,0.0001,adam,64,768,max,10,3,11.44528961,0.613888889
gru,100,0.0001,adam,64,768,max,10,4,11.47902179,0.613888889
lstm,30,0.001,adam,768,768,avg,10,4,6.043839693,0.611111111
lstm,30,0.001,adam,768,768,max,20,3,6.261026382,0.608333333
lstm,200,0.001,adam,768,768,max,20,3,20.09676528,0.608333333
gru,30,0.0001,adam,64,768,max,20,4,7.582659721,0.608333333
lstm,30,0.001,adam,768,768,avg,10,3,6.090146065,0.605555556
lstm,30,0.001,adam,768,768,max,10,4,6.264976501,0.602777778
lstm,200,0.001,adam,768,768,max,10,3,19.87552452,0.602777778
lstm,200,0.0001,adam,64,768,avg,20,4,21.99564385,0.602777778
lstm,50,0.001,adam,768,768,avg,20,4,7.770118237,0.6
lstm,200,0.0001,adam,64,768,max,20,4,22.08149815,0.6
lstm,50,0.0001,adam,64,768,avg,20,4,8.879475594,0.597222222
lstm,200,0.001,adam,768,768,avg,20,4,20.3293004,0.597222222
lstm,30,0.001,adam,768,768,max,20,4,6.140653849,0.594444444
lstm,30,0.0001,adam,64,768,max,20,3,8.477579117,0.594444444
lstm,50,0.0001,adam,64,768,avg,10,3,9.081802368,0.594444444
lstm,100,0.001,adam,768,768,avg,20,3,10.86482978,0.594444444
lstm,30,0.0001,adam,64,768,avg,20,4,7.702095509,0.591666667
lstm,200,0.001,adam,768,768,max,20,4,20.11199832,0.588888889
lstm,50,0.0001,adam,64,768,avg,20,3,8.861906767,0.586111111
lstm,100,0.0001,adam,64,768,avg,20,3,13.04997706,0.583333333
lstm,200,0.001,adam,768,768,max,10,4,20.19606566,0.583333333
