model_type,lr,hidden_size,batch_size,pooling_style,max_length,kernel_size,num_layers,epoch,optimizer,class_num,vocab_size,acc
gated_cnn,0.001,128,64,avg,30,3,2,15,adam,2,4622,0.8485607008760951
gated_cnn,0.001,128,64,max,30,3,2,15,adam,2,4622,0.8719232373800584
gated_cnn,0.001,128,128,avg,30,3,2,15,adam,2,4622,0.8356278681685441
gated_cnn,0.001,128,128,max,30,3,2,15,adam,2,4622,0.8685857321652065
gated_cnn,0.001,256,64,avg,30,3,2,15,adam,2,4622,0.8648310387984981
gated_cnn,0.001,256,64,max,30,3,2,15,adam,2,4622,0.8836045056320401
gated_cnn,0.001,256,128,avg,30,3,2,15,adam,2,4622,0.8594075928243637
gated_cnn,0.001,256,128,max,30,3,2,15,adam,2,4622,0.8748435544430538
gated_cnn,0.0001,128,64,avg,30,3,2,15,adam,2,4622,0.7463496036712557
gated_cnn,0.0001,128,64,max,30,3,2,15,adam,2,4622,0.8176887776387151
gated_cnn,0.0001,128,128,avg,30,3,2,15,adam,2,4622,0.6921151439299124
gated_cnn,0.0001,128,128,max,30,3,2,15,adam,2,4622,0.7809762202753442
gated_cnn,0.0001,256,64,avg,30,3,2,15,adam,2,4622,0.8068418856904463
gated_cnn,0.0001,256,64,max,30,3,2,15,adam,2,4622,0.8452231956612433
gated_cnn,0.0001,256,128,avg,30,3,2,15,adam,2,4622,0.7692949520233625
gated_cnn,0.0001,256,128,max,30,3,2,15,adam,2,4622,0.820191906549854
fast_text,0.001,128,64,avg,30,3,2,15,adam,2,4622,0.7863996662494785
fast_text,0.001,128,64,max,30,3,2,15,adam,2,4622,0.7275761368377138
fast_text,0.001,128,128,avg,30,3,2,15,adam,2,4622,0.7163120567375887
fast_text,0.001,128,128,max,30,3,2,15,adam,2,4622,0.7108886107634543
fast_text,0.001,256,64,avg,30,3,2,15,adam,2,4622,0.8143512724238632
fast_text,0.001,256,64,max,30,3,2,15,adam,2,4622,0.8060075093867334
fast_text,0.001,256,128,avg,30,3,2,15,adam,2,4622,0.7701293283270755
fast_text,0.001,256,128,max,30,3,2,15,adam,2,4622,0.7784730913642053
fast_text,0.0001,128,64,avg,30,3,2,15,adam,2,4622,0.6261994159365875
fast_text,0.0001,128,64,max,30,3,2,15,adam,2,4622,0.6708385481852316
fast_text,0.0001,128,128,avg,30,3,2,15,adam,2,4622,0.5235711305798916
fast_text,0.0001,128,128,max,30,3,2,15,adam,2,4622,0.6846057571964956
fast_text,0.0001,256,64,avg,30,3,2,15,adam,2,4622,0.6837713808927827
fast_text,0.0001,256,64,max,30,3,2,15,adam,2,4622,0.6841885690446391
fast_text,0.0001,256,128,avg,30,3,2,15,adam,2,4622,0.6691697955778055
fast_text,0.0001,256,128,max,30,3,2,15,adam,2,4622,0.6633291614518148
lstm,0.001,128,64,avg,30,3,2,15,adam,2,4622,0.8214434710054235
lstm,0.001,128,64,max,30,3,2,15,adam,2,4622,0.8435544430538173
lstm,0.001,128,128,avg,30,3,2,15,adam,2,4622,0.724238631622862
lstm,0.001,128,128,max,30,3,2,15,adam,2,4622,0.7909887359198998
lstm,0.001,256,64,avg,30,3,2,15,adam,2,4622,0.8247809762202754
lstm,0.001,256,64,max,30,3,2,15,adam,2,4622,0.8402169378389653
lstm,0.001,256,128,avg,30,3,2,15,adam,2,4622,0.8210262828535669
lstm,0.001,256,128,max,30,3,2,15,adam,2,4622,0.8314559866499791
lstm,0.0001,128,64,avg,30,3,2,15,adam,2,4622,0.6662494785148102
lstm,0.0001,128,64,max,30,3,2,15,adam,2,4622,0.6662494785148102
lstm,0.0001,128,128,avg,30,3,2,15,adam,2,4622,0.6662494785148102
lstm,0.0001,128,128,max,30,3,2,15,adam,2,4622,0.6662494785148102
lstm,0.0001,256,64,avg,30,3,2,15,adam,2,4622,0.6662494785148102
lstm,0.0001,256,64,max,30,3,2,15,adam,2,4622,0.6670838548185232
lstm,0.0001,256,128,avg,30,3,2,15,adam,2,4622,0.6662494785148102
lstm,0.0001,256,128,max,30,3,2,15,adam,2,4622,0.6662494785148102
