model,learning_rate,hidden_size,acc,time
fast_text,0.001,256,0.883653044,0.325386
lstm,0.001,256,0.880733945,0.321392
gru,0.001,256,0.869891576,0.322299
rnn,0.001,256,0.884487073,0.308442
cnn,0.001,256,0.8882402,0.2954
gated_cnn,0.001,256,0.879899917,0.298859
stack_gated_cnn,0.001,256,0.885738115,0.301816
rcnn,0.001,256,0.877397832,0.328979
bert,0.001,256,0.861551293,0.813216
bert_lstm,0.001,256,0.86530442,1.095065
bert_cnn,0.001,768,0.877397832,0.878558
bert_mid_layer,0.001,768,0.864053378,0.842527
bert,0.0005,256,0.875729775,0.936149
bert_lstm,0.0005,256,0.871142619,1.467743
bert_cnn,0.0005,768,0.884070058,1.19828
bert_mid_layer,0.0005,768,0.87030859,1.031137
